OBJECTID,STREET_NAME,LENGTH_MILES,STATUS,COMPKEY,CATALYTIC_PROJECTS,NETWORK,DATE_COMPLETED,EXISTING_FACILITY_TYPE,PLANNED_FACILITY_TYPE,PROJECT_NUMBER,DATE_PLANNED,DATE_EXPIRED,SHAPE_Length
40375,BEACH DR SW,0.09049427,MEETS,9104,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,370,,,477.809767580144
40376,CALIFORNIA AVE SW,0.1250407,MEETS,9558,0,LOCAL,2008-12-31T00:00:00.000Z,Sharrow,,0,,,660.214920310316
40377,HUNTER WR BLVD S,0.06011269,MEETS,10977,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,,0,,,317.395014428684
40383,35TH AVE NE,0.12549343,UPGRADE,5360,0,CITYWIDE,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",245,,,662.605305106018
40386,BEACON WR AVE S,0.10504433,MEETS,9134,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,554.634051815939
40387,CALIFORNIA AVE SW,0.07127828,MEETS,9571,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,,0,,,376.349344591416
40388,GREENWOOD AVE N,0.12424635,UPGRADE,10754,0,CITYWIDE,2010-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",496,,,656.020724344761
40389,PHINNEY AVE N,0.04869828,UPGRADE,12157,0,CITYWIDE,1990-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",498,,,257.126927369643
40390,TAYLOR AVE N,0.05930101,UPGRADE,13078,0,LOCAL,2010-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Minor Separation",320,,,313.109306442783
40391,DELMAR DR E,0.05008835,MEETS,9954,0,LOCAL,2008-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,264.466507246038
40392,GREENWOOD AVE N,0.05005241,MEETS,10764,0,LOCAL,2010-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,264.276736047549
40393,PINE ST,0.06098376,MEETS,12224,0,LOCAL,1990-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,321.994252681183
40394,17TH AVE NW,0.1259685,MEETS,2455,0,CITYWIDE,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,150,,,665.113693710243
40395,18TH AVE S,0.06098848,MEETS,2608,0,CITYWIDE,2012-12-31T00:00:00.000Z,Neighborhood Greenway,,0,,,322.019182213186
40396,21ST AVE SW,0.25967681,MEETS,3204,0,LOCAL,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,177,,,1371.09357984058
40397,23RD AVE S,0.07014739,MEETS,3459,0,LOCAL,2010-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,370.378208380089
40398,34TH AVE,0.08025544,MEETS,5208,0,LOCAL,2012-12-31T00:00:00.000Z,Sharrow,,0,,,423.748726335232
40399,63RD AVE SW,0.03756131,MEETS,8118,0,LOCAL,,"In Street, Minor Separation",,329,,,198.323695240222
40400,DEXTER AVE N,0.05986532,MEETS,10081,0,LOCAL,1980-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,316.088869353769
